,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
87,Tyler Ennis\tyler-ennis-1,2014,2014,Syracuse,ACC,34,1215,35.7,4.4,10.6,3.5,8.1,0.9,2.5,3.4,4.4,0.8,2.6,3.4,5.5,2.1,0.2,1.7,2.0,12.9
88,Justin Graham\justin-graham-1,2010,2011,San Jose State,WAC,63,2252,35.7,4.3,9.9,3.7,8.2,0.6,1.7,2.5,3.9,1.0,3.8,4.8,4.6,1.9,0.3,2.7,2.5,11.9
89,Kenny Hayes\kenny-hayes-1,2010,2010,Miami (OH),MAC,32,1143,35.7,5.2,11.5,3.9,7.8,1.3,3.7,3.2,4.0,0.5,2.5,2.9,3.1,0.8,0.2,2.5,2.1,14.9
90,Tommy Mason-Griffin\tommy-mason-griffin-1,2010,2010,Oklahoma,Big 12,31,1107,35.7,4.7,11.9,2.5,6.6,2.3,5.3,2.4,2.9,0.5,2.4,2.9,5.0,0.9,0.0,2.8,1.3,14.1
91,Tomas Sanchez\tomas-sanchez-1,2013,2014,Idaho State,Big Sky,58,2069,35.7,3.8,9.3,2.2,4.9,1.6,4.4,3.7,4.4,0.6,2.5,3.1,4.1,1.7,0.1,2.9,1.9,12.8
92,Max Strus\max-strus-1,2018,2018,DePaul,Big East,31,1106,35.7,5.5,13.5,2.9,5.7,2.6,7.8,3.2,3.9,1.5,4.1,5.6,2.7,1.3,0.5,2.6,2.9,16.8
93,Evan Turner\evan-turner-1,2010,2010,Ohio State,Big Ten,31,1108,35.7,7.6,14.7,7.0,13.0,0.6,1.8,4.5,5.9,2.0,7.2,9.2,6.0,1.7,0.9,4.4,2.8,20.4
94,Matt Bouldin\matt-bouldin-1,2010,2010,Gonzaga,WCC,33,1176,35.6,5.0,11.1,3.3,6.4,1.7,4.7,3.8,4.5,0.5,4.2,4.7,4.0,1.4,0.2,2.3,2.1,15.6
95,Ricky Franklin\ricky-franklin-1,2010,2010,Milwaukee,Horizon,34,1212,35.6,4.9,11.5,2.7,5.3,2.2,6.2,2.7,3.8,0.6,3.6,4.2,3.9,0.9,0.2,3.0,2.7,14.7
96,Dwight Lewis\dwight-lewis-1,2010,2010,Southern California,Pac-10,30,1067,35.6,4.8,12.2,3.4,7.5,1.4,4.7,2.7,3.5,0.4,2.5,2.9,1.5,1.2,0.2,2.5,2.1,13.8
