,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2789,Jeremy Ingram\jeremy-ingram-2,2011,2014,North Carolina Central,Total,112,3035,27.1,4.1,9.5,2.6,5.3,1.5,4.1,3.9,5.1,0.8,2.3,3.1,1.1,1.1,0.5,1.8,2.3,13.6
2790,Gary Johnson\gary-johnson-1,2010,2011,Texas,Big 12,70,1898,27.1,3.8,7.6,3.8,7.5,0.0,0.1,2.8,4.2,1.7,4.5,6.2,1.0,0.5,0.3,1.4,2.3,10.4
2791,Damian Jones\damian-jones-1,2014,2016,Vanderbilt,SEC,99,2684,27.1,5.1,9.1,5.1,9.0,0.0,0.1,3.0,5.3,2.1,4.3,6.4,0.7,0.4,1.7,2.0,3.0,13.3
2792,Ryan Kemrite\ryan-kemrite-1,2015,2018,Liberty,Big South,132,3578,27.1,2.9,6.3,0.9,1.8,2.0,4.5,1.4,1.9,0.6,2.1,2.7,0.8,0.7,0.1,0.7,2.3,9.2
2793,Geno Luzcando\geno-luzcando-1,2015,2018,Idaho State,Big Sky,121,3283,27.1,3.4,7.0,2.7,4.8,0.7,2.2,2.3,3.4,0.9,3.0,3.8,1.7,1.8,0.2,2.4,3.0,9.8
2794,Gabas Maldunas\gabas-maldunas-1,2012,2015,Dartmouth,Ivy,102,2761,27.1,4.2,8.9,4.2,8.8,0.0,0.1,2.2,3.7,2.3,4.9,7.2,1.5,1.0,1.6,2.2,3.1,10.6
2795,Jared Maree\jared-maree-1,2010,2012,Texas-Rio Grande Valley,GWC,91,2465,27.1,3.6,8.2,2.8,5.7,0.8,2.5,2.4,3.2,0.9,2.8,3.6,1.4,0.7,0.2,1.5,2.3,10.5
2796,Hassan Martin\hassan-martin-1,2014,2017,Rhode Island,A-10,121,3284,27.1,4.3,7.4,4.3,7.2,0.0,0.2,2.2,3.5,2.0,4.5,6.5,0.6,0.6,2.6,1.4,2.8,10.7
2797,Skylar Mays\skylar-mays-1,2017,2018,Louisiana State,SEC,64,1737,27.1,3.3,7.6,2.2,4.5,1.1,3.1,2.3,2.8,0.5,2.6,3.1,3.3,1.4,0.2,2.0,1.7,9.8
2798,Javon McCrea\javon-mccrea-1,2011,2014,Buffalo,MAC,128,3473,27.1,6.2,10.8,6.2,10.8,0.0,0.0,3.2,5.1,3.2,4.5,7.7,1.9,1.3,2.0,2.4,2.9,15.7
2799,Jordan McRae\jordan-mcrae-1,2011,2014,Tennessee,SEC,114,3088,27.1,4.4,10.4,2.8,5.9,1.6,4.6,3.1,4.0,0.7,2.6,3.3,1.8,0.6,0.9,2.0,1.9,13.3
2800,Steve McWhorter\steve-mcwhorter-1,2011,2015,Total,Total,132,3581,27.1,2.5,5.9,1.8,3.8,0.7,2.1,1.4,2.1,0.6,2.4,2.9,2.8,1.1,0.3,1.6,2.6,7.1
2801,Eric Mika\eric-mika-2,2014,2017,Brigham Young,WCC,67,1816,27.1,5.6,10.5,5.6,10.5,0.0,0.0,5.0,7.1,2.9,4.9,7.8,1.3,0.5,1.3,2.0,3.0,16.1
2802,Marshall Moses\marshall-moses-1,2010,2011,Oklahoma State,Big 12,66,1790,27.1,4.6,8.5,4.6,8.4,0.0,0.1,2.3,3.3,2.6,5.0,7.7,0.9,0.6,0.4,2.1,3.2,11.5
2803,Johnny O'Bryant\johnny-obryant-1,2012,2014,Louisiana State,SEC,91,2465,27.1,4.9,10.5,4.8,10.2,0.1,0.3,2.8,4.6,3.0,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7
2804,Jon Octeus\jonathan-octeus-1,2013,2015,Total,Total,101,2739,27.1,2.8,6.6,2.3,5.0,0.5,1.6,3.0,3.9,1.0,3.0,4.0,2.0,0.8,0.1,1.2,2.5,9.0
2805,Malik Osborne\malik-osborne-1,2018,2018,Rice,CUSA,31,840,27.1,3.0,7.2,2.3,4.5,0.7,2.7,2.4,3.7,2.3,4.2,6.5,0.8,0.6,0.8,1.8,2.2,9.0
2806,Preston Parks\preston-parks-1,2017,2018,Citadel,Southern,37,1003,27.1,5.8,14.2,3.3,6.9,2.5,7.3,2.9,3.4,1.0,2.1,3.1,3.8,2.0,0.2,2.4,2.0,16.9
2807,Devon Peltier\devon-peltier-1,2010,2011,Cal State Fullerton,Big West,62,1678,27.1,3.9,9.1,1.5,3.3,2.4,5.8,2.1,2.4,0.5,1.2,1.6,0.9,0.7,0.0,1.3,2.0,12.3
2808,Terran Petteway\terran-petteway-1,2012,2015,Total,Total,91,2468,27.1,4.4,10.8,3.0,6.3,1.4,4.4,3.4,4.5,0.6,3.4,4.0,1.7,0.8,0.6,2.5,2.6,13.5
2809,I.J. Ready\ij-ready-1,2014,2017,Mississippi State,SEC,113,3057,27.1,2.9,7.2,2.2,4.7,0.7,2.5,1.3,1.6,0.4,2.0,2.4,3.5,1.4,0.0,1.6,1.5,7.9
2810,Kerwin Roach Jr.\kerwin-roachjr-1,2016,2018,Texas,Big 12,97,2624,27.1,3.3,7.8,2.5,5.2,0.9,2.6,2.4,3.7,0.7,2.8,3.5,2.8,1.3,0.2,2.2,2.8,9.9
2811,Damon Sherman-Newsome\damon-sherman-newsome-1,2013,2015,Colgate,Patriot,96,2601,27.1,3.7,8.4,2.3,4.4,1.5,4.0,1.8,2.4,0.5,2.5,3.0,1.5,0.5,0.2,1.6,1.4,10.7
2812,Luke Sikma\luke-sikma-1,2010,2011,Portland,WCC,64,1737,27.1,4.0,7.4,4.0,7.2,0.1,0.2,2.3,3.0,2.8,6.3,9.0,2.2,1.3,0.6,1.8,2.4,10.4
2813,Christian Standhardinger\christian-standhardinger-1,2010,2014,Total,Total,85,2304,27.1,4.9,10.2,4.5,8.9,0.4,1.3,4.5,6.2,2.6,4.5,7.1,1.2,1.2,0.5,2.0,2.4,14.7
2814,Dante Sterling\dante-sterling-1,2018,2018,Alcorn State,SWAC,32,867,27.1,3.6,9.3,1.8,4.3,1.8,5.0,2.7,3.3,0.7,2.6,3.3,1.5,1.0,0.1,2.1,1.4,11.8
2815,Elijah Stewart\elijah-stewart-1,2015,2018,Southern California,Pac-12,138,3741,27.1,3.5,8.2,1.7,3.6,1.8,4.6,1.4,1.8,0.9,2.4,3.3,1.1,0.8,0.9,1.0,2.4,10.2
2816,Kamil Svrdlik\kamil-svrdlik-1,2010,2011,Fairleigh Dickinson,NEC,60,1625,27.1,3.2,6.6,3.1,6.4,0.1,0.2,2.1,3.5,1.9,3.4,5.3,0.7,0.6,1.0,2.3,3.0,8.5
2817,Malik Thames\malik-thames-1,2016,2017,UC-Riverside,Big West,53,1437,27.1,2.3,6.2,1.3,3.3,1.0,2.8,1.6,2.1,0.3,2.5,2.8,2.5,0.9,0.2,1.3,1.6,7.1
2818,Jonathan Thompson\jonathan-thompson-1,2010,2013,Rider,MAAC,128,3473,27.1,2.4,5.2,1.6,3.1,0.8,2.1,1.8,2.5,0.6,2.4,3.0,2.9,1.1,0.4,1.6,1.7,7.4
2819,Mike Tisdale\mike-tisdale-1,2010,2011,Illinois,Big Ten,70,1899,27.1,4.2,7.7,3.8,6.9,0.4,0.8,2.2,2.7,2.2,4.0,6.3,1.0,0.4,1.6,1.5,3.4,11.0
2820,Ashen Ward\ashen-ward-1,2010,2012,Youngstown State,Horizon,90,2437,27.1,2.8,7.3,1.3,3.0,1.4,4.3,1.2,1.7,1.1,2.5,3.6,1.8,0.7,0.2,1.5,2.0,8.2
2821,Martiz Washington\martiz-washington-1,2010,2012,Longwood,Ind,93,2524,27.1,3.4,9.0,0.9,2.3,2.5,6.7,0.7,1.1,0.4,1.8,2.3,2.1,0.9,0.0,1.2,2.2,10.0
2822,Billy White\billy-white-1,2010,2011,San Diego State,MWC,68,1840,27.1,4.2,7.4,4.0,6.7,0.2,0.7,2.0,2.9,2.0,2.3,4.3,1.5,1.0,0.8,1.9,2.7,10.6
2823,Darrion Allen\darrion-allen-1,2014,2017,Longwood,Big South,126,3405,27.0,3.0,7.5,2.0,4.5,1.0,3.0,1.8,2.2,0.8,2.0,2.9,1.2,0.9,0.5,1.5,2.1,8.9
2824,Emmy Andujar\emmy-andujar-1,2012,2015,Manhattan,MAAC,130,3505,27.0,3.8,7.7,3.5,6.8,0.3,0.9,2.5,3.6,1.8,4.1,5.9,2.8,1.3,0.2,2.8,2.5,10.3
2825,Devon Baker\devon-baker-1,2010,2011,Northwestern State,Southland,58,1568,27.0,4.2,10.6,2.4,5.7,1.8,4.9,4.5,5.9,0.8,1.6,2.4,1.9,1.3,0.0,2.3,2.1,14.8
2826,Drick Bernstine\drick-bernstine-1,2014,2018,Total,Total,106,2859,27.0,3.3,6.5,3.2,6.4,0.0,0.2,1.0,2.0,1.7,5.5,7.2,2.3,1.0,0.6,2.1,2.9,7.6
2827,Kelvin Bright\kelvin-bright-1,2010,2010,Youngstown State,Horizon,30,809,27.0,3.7,7.9,3.4,6.6,0.3,1.3,2.4,4.1,1.0,0.9,1.9,1.9,0.7,0.1,2.1,2.0,10.1
2828,Caleb Brown\caleb-brown-1,2010,2011,Austin Peay,OVC,66,1784,27.0,2.2,5.8,1.7,4.2,0.5,1.6,2.3,3.2,0.3,2.1,2.4,4.2,1.4,0.1,2.3,2.1,7.4
2829,Joevan Catron\joevan-catron-1,2010,2011,Oregon,Pac-10,41,1108,27.0,4.9,10.4,4.4,8.7,0.5,1.7,4.7,6.4,2.3,4.3,6.6,1.4,1.1,0.3,2.3,2.6,14.9
2830,Wayne Chism\wayne-chism-1,2010,2010,Tennessee,SEC,37,998,27.0,4.6,9.8,3.6,6.9,0.9,2.9,2.5,3.4,2.0,5.2,7.2,1.1,1.1,1.3,1.6,2.8,12.6
2831,Isaac Copeland\isaac-copeland-1,2015,2018,Total,Total,106,2858,27.0,3.6,8.2,2.7,5.3,0.9,2.8,1.8,2.4,1.3,3.7,5.0,1.3,0.6,0.7,1.2,1.7,9.9
2832,Shawntrez Davis\shawntrez-davis-1,2018,2018,Bethune-Cookman,MEAC,32,863,27.0,5.7,10.2,4.9,8.3,0.7,1.9,2.6,4.4,2.7,6.0,8.7,1.3,0.5,1.2,2.4,3.4,14.7
2833,Dwayne Evans\dwayne-evans-1,2011,2014,Saint Louis,A-10,134,3616,27.0,4.1,8.1,3.9,7.6,0.1,0.5,2.9,4.1,2.2,4.8,7.0,0.9,1.0,0.6,1.7,2.4,11.2
2834,Phil Fayne\phil-fayne-1,2017,2018,Illinois State,MVC,64,1727,27.0,4.8,8.1,4.8,8.1,0.0,0.0,2.4,4.5,2.9,3.9,6.8,0.7,0.9,1.1,1.3,2.5,12.0
2835,Blake Francis\blake-francis-1,2017,2018,Wagner,NEC,60,1621,27.0,4.1,9.6,1.7,3.6,2.4,5.9,2.0,2.5,0.7,1.0,1.6,1.4,1.2,0.0,1.2,2.5,12.6
2836,Jashire Hardnett\jashire-hardnett-1,2018,2018,Brigham Young,WCC,35,945,27.0,2.1,4.7,1.7,3.4,0.4,1.3,1.3,1.6,0.3,2.4,2.7,2.0,0.7,0.1,1.7,2.6,6.0
2837,Isaiah Hart\isaiah-hart-1,2018,2018,Loyola (MD),Patriot,31,838,27.0,4.0,8.3,3.7,7.4,0.3,0.9,1.9,3.0,0.2,1.7,1.9,2.9,1.0,0.2,2.6,2.3,10.3
2838,Kevin Holland\kevin-holland-1,2015,2018,Southern Mississippi,CUSA,94,2540,27.0,1.6,4.3,0.6,1.5,1.0,2.8,0.3,0.4,0.2,1.9,2.1,1.6,0.6,0.1,0.9,1.6,4.4
2839,Rondae Hollis-Jefferson\rondae-hollis-jefferson-1,2014,2015,Arizona,Pac-12,76,2050,27.0,3.4,6.9,3.3,6.4,0.1,0.5,3.3,4.7,2.1,4.1,6.3,1.5,0.9,0.9,1.4,2.4,10.2
2840,Markus Howard\markus-howard-1,2017,2018,Marquette,Big East,65,1752,27.0,5.8,12.1,2.8,5.5,3.0,6.5,2.5,2.7,0.3,2.4,2.7,2.5,0.9,0.1,2.3,2.5,17.0
2841,Trency Jackson\trency-jackson-2,2013,2015,Total,Total,68,1836,27.0,3.1,8.0,1.9,4.7,1.2,3.3,2.3,3.5,0.8,2.0,2.7,2.1,1.0,0.0,1.8,2.2,9.7
2842,David Jean-Baptiste\david-jean-baptiste-1,2018,2018,Chattanooga,Southern,33,891,27.0,2.3,6.0,1.2,2.5,1.1,3.5,0.7,0.9,0.7,1.4,2.1,1.9,0.8,0.1,1.2,1.5,6.3
2843,Rahlir Jefferson\rahlir-jefferson-1,2010,2013,Temple,A-10,133,3588,27.0,2.7,5.4,2.7,5.4,0.0,0.0,1.6,2.6,2.3,2.9,5.1,2.0,1.2,0.8,1.4,2.5,6.9
2844,Tony Johnson\tony-johnson-4,2010,2013,Lafayette,Patriot,106,2859,27.0,3.1,6.0,2.6,4.6,0.5,1.4,2.0,2.6,0.4,2.9,3.3,3.5,1.5,0.2,1.7,1.7,8.8
2845,Torry Johnson\torry-johnson-1,2016,2018,Northern Arizona,Big Sky,62,1677,27.0,3.1,7.7,2.5,5.6,0.7,2.1,3.1,4.3,0.7,1.7,2.4,1.5,0.8,0.0,2.1,2.3,10.1
2846,Tyler Kalinoski\tyler-kalinoski-1,2012,2015,Davidson,Total,132,3570,27.0,3.4,7.8,1.6,3.1,1.8,4.7,1.3,1.7,1.1,2.8,3.9,2.5,0.9,0.2,1.1,2.2,9.9
2847,Marcos Knight\marcos-knight-1,2012,2013,Middle Tennessee,Sun Belt,68,1839,27.0,4.5,9.8,4.0,8.1,0.5,1.7,2.6,3.9,1.6,3.9,5.5,2.7,1.2,0.4,2.0,2.4,12.2
2848,Cedrick Lindsay\cedrick-lindsay-1,2011,2014,Richmond,A-10,121,3272,27.0,3.3,7.7,2.5,5.3,0.8,2.4,3.1,4.0,0.6,1.7,2.2,2.9,1.1,0.1,1.7,1.8,10.5
2849,Jalen Little\jalen-little-1,2015,2016,Abilene Christian,Southland,57,1540,27.0,1.3,3.9,0.7,2.1,0.6,1.8,1.2,1.4,0.3,2.2,2.5,4.0,1.1,0.0,1.8,2.3,4.4
2850,Austin McBroom\austin-mcbroom-1,2012,2016,Total,Total,130,3508,27.0,3.5,8.8,1.6,3.9,2.0,4.9,2.4,2.9,0.5,1.5,2.0,2.4,0.8,0.0,1.8,1.5,11.5
2851,De'Anthony Melton\deanthony-melton-1,2017,2017,Southern California,Pac-12,36,972,27.0,2.8,6.4,2.2,4.4,0.6,2.1,2.1,3.0,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3
2852,Chimezie Metu\chimezie-metu-1,2016,2018,Southern California,Pac-12,104,2809,27.0,4.8,8.9,4.6,8.5,0.1,0.4,2.7,3.9,1.8,4.5,6.3,1.2,0.7,1.6,1.7,2.5,12.3
2853,Aaric Murray\aaric-murray-1,2010,2014,Total,Total,127,3433,27.0,5.3,11.2,4.6,9.0,0.8,2.2,3.2,4.4,2.3,4.7,6.9,1.1,0.8,2.2,2.1,3.0,14.6
2854,Reeves Nelson\reeves-nelson-1,2010,2012,UCLA,Total,68,1837,27.0,4.6,7.8,4.5,7.4,0.1,0.4,2.8,4.9,2.0,5.2,7.3,1.1,0.5,0.6,2.0,2.2,12.1
2855,Al Nolen\al-nolen-1,2010,2011,Minnesota,Big Ten,32,865,27.0,1.9,5.3,1.2,3.4,0.7,1.9,3.0,4.2,0.8,2.5,3.3,4.2,2.4,0.1,1.8,2.1,7.4
2856,Zach Norvell Jr.\zach-norvelljr-1,2018,2018,Gonzaga,WCC,37,999,27.0,4.4,9.5,2.3,3.9,2.1,5.6,1.9,2.4,1.1,2.8,3.9,2.3,1.1,0.1,1.6,2.1,12.7
2857,Mezie Nwigwe\mezie-nwigwe-1,2010,2010,Robert Morris,NEC,35,944,27.0,2.8,6.6,2.2,5.0,0.5,1.6,2.3,3.0,0.5,3.7,4.2,2.5,1.3,0.0,2.0,2.5,8.3
2858,Marques Oliver\marques-oliver-1,2010,2013,Delaware State,MEAC,119,3212,27.0,3.4,6.5,3.4,6.4,0.0,0.1,2.4,3.6,2.4,3.6,6.0,1.0,1.3,1.9,1.8,2.9,9.2
2859,Eric Parrish\eric-parrish-1,2018,2018,Akron,MAC,32,864,27.0,3.4,6.5,2.7,4.3,0.7,2.2,1.3,2.1,1.6,3.1,4.7,1.4,1.2,0.2,1.4,2.3,8.8
2860,Jake Pemberton\jake-pemberton-1,2015,2018,Denver,Summit,108,2911,27.0,2.4,5.4,1.4,2.6,1.1,2.8,1.2,1.4,0.2,2.4,2.6,2.9,1.2,0.1,1.7,2.2,7.1
2861,Darius Perkins\darius-perkins-1,2015,2016,Utah State,MWC,62,1672,27.0,2.8,6.8,1.0,2.6,1.7,4.1,0.9,1.3,0.2,2.1,2.3,2.5,0.5,0.0,1.7,1.5,8.1
2862,Darion Rackley\darion-rackley-1,2012,2015,Jacksonville State,OVC,109,2943,27.0,3.3,8.7,2.2,4.7,1.1,3.9,4.4,5.9,0.8,1.8,2.7,1.8,1.3,0.3,2.1,2.2,12.2
2863,Isaiah Reese\isaiah-reese-1,2017,2018,Canisius,MAAC,67,1806,27.0,4.3,9.7,2.8,5.0,1.6,4.6,1.7,2.0,0.6,4.1,4.7,3.8,1.8,0.2,2.2,2.2,11.9
2864,Nigel Ribeiro\nigel-ribeiro-1,2016,2018,Grambling,SWAC,80,2163,27.0,3.3,8.3,2.3,5.2,1.0,3.2,1.4,2.2,0.3,2.7,3.0,2.1,1.5,0.1,1.7,2.1,9.0
2865,Ronald Roberts\ronald-roberts--1,2011,2014,Saint Joseph's,A-10,131,3541,27.0,4.1,7.3,4.1,7.3,0.0,0.0,2.4,4.0,2.7,3.9,6.6,0.8,0.4,0.9,1.5,2.2,10.7
2866,Donovan Ross\donovan-ross-1,2014,2015,Lamar,Southland,60,1617,27.0,3.7,6.9,3.7,6.7,0.0,0.2,2.7,3.4,1.5,3.0,4.6,0.8,0.9,0.7,1.8,2.3,10.1
2867,Brandon Shingles\brandon-shingles-1,2010,2010,Morehead State,OVC,32,864,27.0,1.8,4.0,1.5,3.3,0.2,0.7,1.1,1.8,0.8,1.3,2.2,4.8,1.5,0.1,2.3,2.3,4.8
2868,Terrell Stoglin\terrell-stoglin-1,2011,2012,Maryland,ACC,65,1755,27.0,5.4,12.6,3.5,7.5,1.9,5.1,3.7,4.6,0.4,2.0,2.4,2.6,0.7,0.1,2.2,1.9,16.4
2869,Anthony Tarke\anthony-tarke-1,2017,2018,NJIT,A-Sun,60,1617,27.0,4.7,10.5,3.5,6.8,1.1,3.6,2.2,3.6,1.6,3.8,5.4,1.5,1.2,0.7,2.2,2.1,12.7
2870,Quincy Taylor\quincy-taylor-1,2011,2015,Total,Total,124,3348,27.0,2.6,6.4,1.3,3.2,1.3,3.2,1.0,1.4,0.4,1.7,2.1,2.4,1.0,0.1,2.1,1.9,7.5
2871,Djibril Thiam\djibril-thiam-1,2010,2011,Wyoming,MWC,61,1645,27.0,3.6,6.5,3.5,6.0,0.1,0.5,2.3,3.7,1.8,3.2,5.0,0.7,1.0,1.1,1.7,2.4,9.6
2872,Deshaun Thomas\deshaun-thomas-1,2011,2013,Ohio State,Big Ten,113,3052,27.0,5.4,11.2,4.1,7.5,1.3,3.7,2.4,3.0,2.0,3.0,5.0,0.9,0.4,0.2,1.1,1.4,14.4
2873,Steven Thornton\steven-thornton-1,2012,2015,Total,Total,69,1864,27.0,2.7,6.6,1.5,3.2,1.1,3.4,2.0,2.6,0.8,1.9,2.7,0.9,0.9,0.3,1.1,3.0,8.4
2874,Seth Tuttle\seth-tuttle-1,2012,2015,Northern Iowa,MVC,136,3672,27.0,4.4,7.7,4.1,6.9,0.3,0.8,3.7,5.0,2.0,4.7,6.7,2.1,0.9,0.7,2.0,2.2,12.8
2875,Greg Washington\greg-washington-1,2010,2011,Hofstra,CAA,66,1782,27.0,3.0,6.6,3.0,6.5,0.0,0.0,1.1,1.5,2.2,3.5,5.7,0.8,0.8,2.5,1.0,3.4,7.0
2876,Trent Weideman\trent-weideman-1,2011,2015,Total,Total,124,3349,27.0,3.9,7.5,3.8,7.2,0.1,0.3,2.2,3.1,2.0,4.6,6.6,0.9,0.7,0.9,1.6,2.3,10.1
2877,Alex Welhouse\alex-welhouse-1,2013,2013,Omaha,Summit,31,836,27.0,2.8,6.4,1.2,2.6,1.6,3.7,1.1,1.4,1.1,3.6,4.7,0.7,0.6,0.1,1.4,1.6,8.3
2878,Alan Williams\alan-williams-2,2012,2015,UC-Santa Barbara,Big West,112,3026,27.0,5.7,11.6,5.7,11.5,0.0,0.0,4.1,5.8,3.6,6.4,10.0,1.0,1.0,1.9,1.8,2.8,15.5
2879,Donte Williams\donte-williams-2,2015,2015,Utah Valley,WAC,30,809,27.0,3.0,8.4,1.6,3.7,1.4,4.7,3.1,3.9,0.0,2.6,2.7,1.6,0.4,0.3,1.7,1.8,10.6
2880,Jeremy Williams\jeremy-williams-1,2010,2011,Texas-El Paso,CUSA,68,1835,27.0,3.4,7.1,2.5,5.0,0.8,2.1,2.7,4.0,1.5,3.6,5.1,0.9,0.8,0.6,1.6,2.9,10.2
2881,Joy Williamson\joy-williamson-1,2013,2014,Texas A&M-Corpus Christi,Southland,59,1593,27.0,2.7,6.1,2.2,4.4,0.5,1.7,2.1,2.9,1.2,2.7,3.9,1.1,1.1,0.1,1.6,2.1,8.1
2882,Karon Abraham\karon-abraham-1,2010,2011,Robert Morris,NEC,58,1560,26.9,3.9,9.3,1.4,3.6,2.5,5.7,3.4,4.1,0.6,1.7,2.3,1.4,0.9,0.2,1.9,2.4,13.7
2883,Tavon Allen\tavon-allen-1,2013,2016,Drexel,CAA,117,3146,26.9,3.7,10.3,2.3,6.1,1.4,4.2,1.9,2.5,0.4,2.2,2.6,1.9,0.7,0.4,1.6,2.3,10.7
2884,Kyle Allman\kyle-allman-1,2016,2018,Cal State Fullerton,Big West,94,2528,26.9,3.7,8.2,3.0,6.2,0.7,2.0,3.7,5.1,0.3,2.2,2.5,1.8,0.7,0.2,2.1,2.0,11.7
2885,Levan Shawn Alston\shawn-alston-1,2016,2018,Temple,AAC,96,2585,26.9,3.5,8.8,1.9,4.5,1.6,4.4,1.3,1.5,0.5,2.1,2.6,2.6,0.9,0.1,1.2,1.7,9.9
2886,Reggie Arceneaux\reggie-arceneaux-1,2012,2015,Wright State,Horizon,132,3556,26.9,2.8,7.4,1.5,3.8,1.3,3.6,1.0,1.4,0.3,1.6,1.9,2.2,0.8,0.0,1.8,1.2,7.9
2887,Brent Arrington\brent-arrington-1,2012,2016,Total,Total,136,3657,26.9,3.3,8.5,2.3,5.3,1.0,3.2,2.5,3.4,1.1,2.2,3.3,2.2,1.8,0.6,1.9,3.2,10.0
2888,Daniel Bejarano\daniel-bejarano-1,2011,2015,Total,Total,108,2902,26.9,3.5,9.5,2.0,5.0,1.5,4.5,2.0,2.7,1.7,4.7,6.5,2.1,0.6,0.4,1.3,1.9,10.4
2889,Aaron Bright\aaron-bright-1,2011,2015,Total,Total,135,3626,26.9,2.9,7.6,1.4,3.5,1.5,4.1,2.0,2.4,0.2,1.3,1.5,3.2,0.5,0.0,1.8,2.0,9.2
2890,Josh Brown\josh-brown-2,2011,2012,Louisiana,Sun Belt,51,1371,26.9,4.4,10.3,3.9,8.5,0.5,1.8,1.6,2.7,2.3,3.8,6.0,0.8,0.7,0.5,1.5,2.0,10.9
2891,Ben Brust\ben-brust-1,2011,2014,Wisconsin,Big Ten,124,3332,26.9,3.2,7.7,1.3,2.8,1.9,4.9,1.0,1.3,0.7,2.8,3.5,1.3,0.7,0.0,0.8,1.0,9.3
2892,Jamaya Burr\jamaya-burr-1,2014,2017,McNeese State,Southland,117,3149,26.9,2.9,7.3,2.2,5.3,0.7,2.0,3.3,4.6,0.6,1.8,2.4,3.1,1.0,0.0,2.3,1.4,9.8
2893,Sandro Carissimo\sandro-carissimo-1,2011,2014,Vermont,AEC,134,3610,26.9,2.9,7.1,1.9,4.5,1.0,2.6,1.6,2.0,0.5,2.3,2.8,2.1,1.0,0.2,1.3,1.6,8.5
2894,Austin Chatman\austin-chatman-1,2012,2015,Creighton,Total,139,3739,26.9,2.3,6.0,1.5,3.6,0.9,2.4,1.8,2.3,0.4,2.2,2.6,3.5,0.5,0.0,1.8,1.8,7.3
2895,Ty Cockfield\ty-cockfield-1,2016,2018,Total,Total,41,1104,26.9,4.7,10.9,3.3,6.7,1.5,4.2,2.3,2.9,0.7,1.9,2.6,1.8,0.9,0.1,2.0,1.6,13.2
2896,Jimmy Conyers\jimmy-conyers-1,2010,2010,Akron,MAC,35,940,26.9,3.4,6.6,2.9,5.0,0.5,1.6,2.8,3.8,2.5,4.1,6.7,1.4,1.1,0.2,1.9,2.6,10.1
2897,Joe Ford\joe-ford-1,2010,2010,Pacific,Big West,35,943,26.9,2.8,4.3,2.8,4.3,0.0,0.0,1.3,2.4,2.3,3.2,5.5,2.6,1.1,0.9,1.3,3.2,6.9
2898,Alan Herndon\alan-herndon-1,2015,2018,Wyoming,MWC,134,3608,26.9,3.2,6.4,2.2,3.7,0.9,2.7,1.3,2.2,0.9,3.9,4.7,1.3,0.5,1.4,1.1,2.1,8.6
2899,Brady Heslip\brady-heslip-1,2012,2014,Baylor,Big 12,112,3015,26.9,3.2,7.4,0.5,1.3,2.7,6.2,1.1,1.3,0.2,1.1,1.3,0.9,0.6,0.0,0.4,1.2,10.2
2900,Terence Jones\terence-jones-1,2010,2013,Total,Total,126,3392,26.9,2.8,8.2,1.4,3.6,1.5,4.5,1.9,2.8,0.3,1.8,2.1,2.6,0.9,0.1,2.7,2.0,9.0
2901,John Karhoff\john-karhoff-1,2013,2014,Omaha,Summit,63,1694,26.9,5.0,10.1,4.9,9.7,0.1,0.4,2.6,3.3,1.3,2.7,4.0,2.1,0.7,0.6,1.6,3.4,12.6
2902,Jeff Kari\jeff-kari-1,2010,2010,Lafayette,Patriot,32,860,26.9,2.8,6.8,1.2,2.7,1.5,4.1,2.7,3.6,0.4,2.4,2.8,2.4,1.2,0.1,1.5,1.4,9.7
2903,Kyle Kuric\kyle-kuric-1,2010,2012,Louisville,Big East,101,2715,26.9,3.3,7.3,1.7,3.0,1.6,4.3,1.1,1.5,1.2,2.4,3.6,1.0,0.9,0.3,0.8,1.7,9.4
2904,Andrew Lawrence\andrew-lawrence-1,2010,2013,College of Charleston,Southern,134,3606,26.9,2.8,7.0,1.3,2.7,1.5,4.3,1.9,2.5,0.3,1.9,2.2,2.9,1.2,0.2,1.7,2.0,9.1
2905,Kelan Martin\kelan-martin-1,2015,2018,Butler,Big East,136,3656,26.9,5.2,12.0,3.6,7.3,1.6,4.7,2.9,3.7,1.0,4.2,5.2,1.2,0.6,0.4,1.7,2.1,15.1
2906,Jordan Mathews\jordan-mathews-1,2014,2017,Total,Total,141,3799,26.9,3.6,8.7,1.6,3.7,2.0,5.0,2.2,2.8,0.6,2.4,3.0,1.2,0.6,0.1,1.0,1.7,11.5
2907,Drew McDonald\drew-mcdonald-1,2016,2018,Northern Kentucky,Horizon,97,2612,26.9,5.2,11.1,4.0,7.7,1.2,3.4,3.1,4.2,2.0,5.8,7.9,1.7,0.4,0.5,2.0,2.2,14.8
2908,Justin Minaya\justin-minaya-1,2018,2018,South Carolina,SEC,32,860,26.9,2.8,7.2,1.6,3.9,1.2,3.3,1.1,1.6,1.6,2.6,4.2,1.5,0.6,0.3,1.3,2.0,7.9
