,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
43,2003,NBA,2,47,UTA,Mo Williams\willima01,20.194,G,us,University of Alabama,2004,2016,818,29.2,13.2,2.8,4.9,0.9,0.1,.434,.460,.378,.871,40.0,.080
44,2012,NBA,2,35,GSW,Draymond Green\greendr01,22.122,F,us,Michigan State University,2013,2018,467,27.7,9.3,6.9,4.6,1.4,1.1,.438,.505,.327,.707,39.0,.145
45,2003,NBA,2,45,CHI,Matt Bonner\bonnema01,23.087,F,us,University of Florida,2005,2016,792,16.9,5.8,3.0,0.7,0.4,0.3,.464,.516,.414,.780,38.5,.138
46,1997,NBA,2,42,PHO,Stephen Jackson\jacksst02,19.086,F-G,us,Butler County Community College,2001,2014,858,31.9,15.1,3.9,3.1,1.3,0.4,.414,.456,.333,.798,36.1,.063
47,2007,NBA,2,31,SEA,Carl Landry\landrca01,23.288,F,us,Purdue University,2008,2016,513,22.5,10.8,4.9,0.7,0.4,0.4,.535,.537,.300,.785,35.9,.149
48,1998,NBA,2,31,LAL,Ruben Patterson\patteru01,22.334,F,us,University of Cincinnati,1999,2008,649,24.6,10.7,4.2,1.8,1.2,0.4,.517,.530,.179,.641,35.1,.106
49,1985,NBA,2,47,NYK,Gerald Wilkins\wilkige01,21.286,G-F,us,University of Tennessee at Chattanooga,1986,1999,900,29.0,13.0,2.9,3.0,1.0,0.2,.450,.469,.316,.745,33.9,.062
50,2009,NBA,2,46,CLE,Danny Green\greenda02,22.009,G-F,us,University of North Carolina,2010,2018,540,25.1,8.8,3.4,1.6,1.0,0.8,.418,.454,.395,.815,33.3,.118
51,1989,NBA,2,28,MIA,Sherman Douglas\douglsh01,22.291,G,us,Syracuse University,1990,2001,765,27.6,11.0,2.2,5.9,1.0,0.1,.484,.504,.267,.678,32.9,.075
52,1998,NBA,2,39,MIL,Rafer Alston\alstora01,21.340,G,us,California State University Fresno,2000,2010,671,28.9,10.1,2.8,4.8,1.2,0.2,.383,.407,.354,.729,32.9,.081
53,2008,NBA,2,34,MIN,Mario Chalmers\chalmma01,22.044,G,us,University of Kansas,2009,2018,646,26.7,8.9,2.5,3.7,1.5,0.2,.417,.475,.351,.793,32.3,.090
54,2010,NBA,2,33,SAC,Hassan Whiteside\whiteha01,21.016,C,us,Marshall University,2011,2018,271,26.8,13.6,11.4,0.5,0.6,2.4,.575,.575,1.000,.627,30.5,.202
55,1994,NBA,2,46,MIL,Voshon Lenard\lenarvo01,21.051,G,us,University of Minnesota,1996,2006,565,27.2,11.9,2.8,2.1,0.8,0.2,.415,.436,.384,.787,29.6,.093
56,2005,NBA,2,34,UTA,C.J. Miles\milescj01,18.076,G-F,us,,2006,2018,785,20.7,9.8,2.4,1.1,0.7,0.3,.414,.465,.361,.809,29.3,.086
57,2003,NBA,2,38,WAS,Steve Blake\blakest01,23.126,G,us,University of Maryland,2004,2016,870,23.9,6.5,2.1,4.0,0.7,0.1,.401,.420,.383,.779,29.1,.067
58,2011,NBA,2,38,HOU,Chandler Parsons\parsoch01,22.246,F,us,University of Florida,2012,2018,410,31.0,13.1,4.6,2.8,0.9,0.4,.466,.524,.377,.708,29.1,.110
59,2007,NBA,2,56,MIL,Ramon Sessions\sessira01,21.083,G,us,University of Nevada Reno,2008,2018,691,23.3,10.3,2.7,4.1,0.7,0.1,.434,.450,.316,.791,28.8,.086
60,1993,NBA,2,28,DAL,Lucious Harris\harrilu01,22.200,G,us,California State University Long Beach,1994,2005,800,19.6,7.2,2.3,1.4,0.7,0.1,.426,.448,.348,.790,28.7,.088
61,1988,NBA,2,28,PHO,Andrew Lang\langan01,22.006,C,us,University of Arkansas,1989,2000,737,20.8,6.0,4.8,0.6,0.5,1.5,.470,.471,.250,.744,28.6,.089
