,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
51,2004,NBA,1,9,PHI,Andre Iguodala\iguodan01,20.153,G-F,us,University of Arizona,2005,2018,1040,34.1,12.6,5.2,4.4,1.5,0.5,.465,.516,.333,.713,92.1,.125
52,1987,NBA,1,18,NYK,Mark Jackson\jacksma01,22.087,G,us,St. John's University,1988,2004,1296,30.2,9.6,3.8,8.0,1.2,0.1,.447,.477,.332,.770,91.8,.113
53,1998,NBA,2,32,SEA,Rashard Lewis\lewisra02,18.325,F,us,,1999,2014,1049,32.0,14.9,5.2,1.7,1.1,0.5,.452,.491,.386,.805,90.9,.130
54,1988,NBA,1,6,LAC,Hersey Hawkins\hawkihe01,21.278,G,us,Bradley University,1989,2001,983,32.6,14.7,3.6,2.9,1.7,0.3,.461,.488,.394,.870,90.6,.136
55,2008,NBA,1,4,SEA,Russell Westbrook\westbru01,19.231,G,us,University of California Los Angeles,2009,2018,748,34.4,23.0,6.6,8.2,1.7,0.3,.435,.464,.311,.814,90.1,.168
56,1986,NBA,2,27,DET,Dennis Rodman\rodmade01,25.041,F,us,Southeastern Oklahoma State University,1987,2000,911,31.7,7.3,13.1,1.8,0.7,0.6,.521,.542,.231,.584,89.8,.150
57,1992,NBA,2,29,NJN,P.J. Brown\brownpj01,22.259,F-C,us,Louisiana Tech University,1994,2008,1089,31.1,9.1,7.7,1.5,0.8,1.0,.460,.463,.136,.794,89.8,.128
58,1985,NBA,1,9,CLE,Charles Oakley\oaklech01,21.188,F-C,us,Virginia Union University,1986,2004,1282,31.4,9.7,9.5,2.5,1.1,0.3,.471,.477,.253,.761,89.7,.107
59,1989,NBA,2,36,POR,Clifford Robinson\robincl02,22.199,F-C,us,University of Connecticut,1990,2007,1380,30.8,14.2,4.6,2.2,1.0,1.0,.438,.459,.356,.689,89.7,.101
60,1992,NBA,1,2,CHH,Alonzo Mourning\mournal01,22.142,C,us,Georgetown University,1993,2008,838,31.0,17.1,8.5,1.1,0.5,2.8,.527,.530,.247,.692,89.7,.166
61,1989,NBA,1,17,SEA,Shawn Kemp\kempsh01,19.218,F-C,us,Trinity Valley Community College,1990,2003,1051,27.9,14.6,8.4,1.6,1.1,1.2,.488,.490,.277,.741,89.5,.147
62,1989,NBA,1,4,MIA,Glen Rice\ricegl01,22.036,F,us,University of Michigan,1990,2004,1000,35.0,18.3,4.4,2.1,1.0,0.3,.456,.476,.400,.846,88.7,.122
63,1988,NBA,3,53,POR,Anthony Mason\masonan01,21.202,F,us,Tennessee State University,1990,2003,882,34.7,10.9,8.3,3.4,0.7,0.3,.509,.510,.167,.709,88.3,.138
64,1998,NBA,1,4,TOR,Antawn Jamison\jamisan01,22.017,F,us,University of North Carolina,1999,2014,1083,34.8,18.5,7.5,1.6,1.0,0.4,.451,.477,.346,.724,87.8,.112
65,1993,NBA,1,24,HOU,Sam Cassell\cassesa01,23.230,G,us,Florida State University,1994,2008,993,30.0,15.7,3.2,6.0,1.1,0.2,.454,.477,.331,.861,87.5,.141
66,1991,NBA,1,13,IND,Dale Davis\davisda01,22.098,F-C,us,Clemson University,1992,2007,1094,27.1,8.0,7.9,0.9,0.6,1.2,.530,.530,.000,.562,86.9,.141
67,1985,NBA,1,18,DET,Joe Dumars\dumarjo01,22.031,G,us,McNeese State University,1986,1999,1018,34.5,16.1,2.2,4.5,0.9,0.1,.460,.480,.382,.843,86.2,.118
68,2003,NBA,1,18,NOH,David West\westda01,22.306,F-C,us,Xavier University,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,.495,.499,.265,.817,85.9,.141
69,1988,NBA,1,19,NYK,Rod Strickland\stricro02,21.358,G,us,DePaul University,1989,2005,1094,30.7,13.2,3.7,7.3,1.5,0.2,.454,.465,.282,.721,85.8,.122
70,1995,NBA,1,21,PHO,Michael Finley\finlemi01,22.119,G-F,us,University of Wisconsin,1996,2010,1103,34.4,15.7,4.4,2.9,0.9,0.3,.444,.467,.375,.811,85.2,.108
71,1989,NBA,1,14,GSW,Tim Hardaway\hardati01,22.305,G,us,University of Texas at El Paso,1990,2003,867,35.3,17.7,3.3,8.2,1.6,0.1,.431,.469,.355,.782,85.0,.133
72,1993,NBA,1,1,ORL,Chris Webber\webbech01,20.126,F-C,us,University of Michigan,1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,.479,.490,.299,.649,84.7,.132
73,1991,NBA,1,5,MIA,Steve Smith\smithst01,22.092,G,us,Michigan State University,1992,2005,942,30.6,14.3,3.2,3.1,0.8,0.3,.440,.476,.358,.845,83.7,.139
74,2001,NBA,1,13,HOU,Richard Jefferson\jefferi01,21.011,F,us,University of Arizona,2002,2018,1181,29.0,12.6,4.0,2.0,0.7,0.3,.464,.493,.376,.768,83.0,.116
75,2001,NBA,1,10,BOS,Joe Johnson\johnsjo02,20.003,G-F,us,University of Arkansas,2002,2018,1276,34.7,16.0,4.0,3.9,0.8,0.2,.441,.472,.371,.802,82.8,.090
76,1996,NBA,1,14,SAC,Peja Stojakovic\stojape01,19.022,F-G,hr,,1999,2011,804,33.5,17.0,4.7,1.8,0.9,0.1,.450,.484,.401,.895,82.6,.147
